100,10,10,300,0.01,2.536221504211426,0.0
100,10,10,300,0.01,2.650298833847046,1.5919999999999987
100,10,10,300,0.01,2.715925931930542,1.9319999999999986
100,10,10,300,0.01,3.8806312084198,1.8059999999999974
100,10,10,300,0.01,3.2765276432037354,1.5060000000000002
100,10,10,300,0.01,2.4975218772888184,1.477999999999998
100,10,10,300,0.01,2.460238218307495,1.445999999999998
100,10,10,300,0.01,2.605360746383667,3.727999999999998
100,10,10,300,0.01,2.4941294193267822,0.8960000000000008
100,10,10,300,0.01,2.4619498252868652,0.46199999999999974
100,10,20,300,0.01,2.52241587638855,0.0
100,10,20,300,0.01,2.4582736492156982,1.8339999999999996
100,10,20,300,0.01,2.463373899459839,0.5820000000000007
100,10,20,300,0.01,2.4625020027160645,0.38599999999999923
100,10,20,300,0.01,2.5840134620666504,2.2680000000000007
100,10,20,300,0.01,2.4524083137512207,0.13799999999999812
100,10,20,300,0.01,2.4571728706359863,0.0
100,10,20,300,0.01,2.4976930618286133,0.0
100,10,20,300,0.01,2.704928398132324,1.7399999999999984
100,10,20,300,0.01,2.4876835346221924,0.0799999999999983
100,10,30,300,0.01,2.8704919815063477,0.09399999999999764
100,10,30,300,0.01,2.9515585899353027,0.6980000000000004
100,10,30,300,0.01,2.695324420928955,1.4800000000000004
100,10,30,300,0.01,2.5913610458374023,0.0
100,10,30,300,0.01,2.5476856231689453,0.6980000000000004
100,10,30,300,0.01,2.496335744857788,0.14199999999999946
100,10,30,300,0.01,2.4974558353424072,0.0799999999999983
100,10,30,300,0.01,2.504513740539551,0.8960000000000008
100,10,30,300,0.01,2.617830276489258,0.9659999999999975
100,10,30,300,0.01,2.478915214538574,0.0
100,10,40,300,0.01,2.4969844818115234,0.20199999999999818
100,10,40,300,0.01,2.5022709369659424,0.5820000000000007
100,10,40,300,0.01,2.5777764320373535,0.0
100,10,40,300,0.01,2.4762959480285645,1.7099999999999973
100,10,40,300,0.01,2.458662271499634,0.14199999999999946
100,10,40,300,0.01,2.467352867126465,1.347999999999999
100,10,40,300,0.01,2.4772748947143555,1.8019999999999996
100,10,40,300,0.01,2.482877016067505,0.5820000000000007
100,10,40,300,0.01,2.485652446746826,0.0
100,10,40,300,0.01,2.4819390773773193,0.14199999999999946
100,10,50,300,0.01,2.511606216430664,0.0
100,10,50,300,0.01,2.5041635036468506,0.0
100,10,50,300,0.01,2.5118887424468994,0.7560000000000002
100,10,50,300,0.01,2.588848114013672,0.0
100,10,50,300,0.01,2.517509698867798,0.1579999999999977
100,10,50,300,0.01,2.4916555881500244,0.0
100,10,50,300,0.01,2.5116658210754395,0.5820000000000007
100,10,50,300,0.01,2.525146245956421,0.029999999999997584
100,10,50,300,0.01,2.6947197914123535,0.13799999999999812
100,10,50,300,0.01,2.4686667919158936,1.6759999999999984
100,10,60,300,0.01,2.470618724822998,0.38599999999999923
100,10,60,300,0.01,2.5220930576324463,1.686
100,10,60,300,0.01,2.5513875484466553,0.09399999999999764
100,10,60,300,0.01,2.597764492034912,1.977999999999998
100,10,60,300,0.01,3.0925440788269043,1.6559999999999988
100,10,60,300,0.01,2.769545316696167,1.8780000000000001
100,10,60,300,0.01,2.834488868713379,1.8759999999999977
100,10,60,300,0.01,2.5883359909057617,0.5820000000000007
100,10,60,300,0.01,2.499220848083496,0.0
100,10,60,300,0.01,2.4807963371276855,1.5
100,10,70,300,0.01,2.5057928562164307,1.9319999999999986
100,10,70,300,0.01,2.496305227279663,0.0
100,10,70,300,0.01,2.489274501800537,2.2739999999999974
100,10,70,300,0.01,2.522409439086914,0.029999999999997584
100,10,70,300,0.01,2.53261661529541,1.347999999999999
100,10,70,300,0.01,2.4943032264709473,0.5859999999999985
100,10,70,300,0.01,2.4782729148864746,0.0799999999999983
100,10,70,300,0.01,2.4936273097991943,1.6499999999999986
100,10,70,300,0.01,2.4733617305755615,0.5859999999999985
100,10,70,300,0.01,2.4938621520996094,0.0
100,10,80,300,0.01,2.5013039112091064,1.6499999999999986
100,10,80,300,0.01,2.530836343765259,0.8960000000000008
100,10,80,300,0.01,2.514329195022583,0.6920000000000002
100,10,80,300,0.01,2.492121934890747,1.4399999999999977
100,10,80,300,0.01,2.520188093185425,0.0
100,10,80,300,0.01,2.5000498294830322,0.46199999999999974
100,10,80,300,0.01,2.513669490814209,0.5820000000000007
100,10,80,300,0.01,2.5125977993011475,0.0
100,10,80,300,0.01,2.5155434608459473,0.0799999999999983
100,10,80,300,0.01,2.503906726837158,0.0
100,10,90,300,0.01,2.566079616546631,0.5820000000000007
100,10,90,300,0.01,2.529250383377075,1.5579999999999998
100,10,90,300,0.01,2.5168051719665527,0.6920000000000002
100,10,90,300,0.01,2.5385005474090576,0.029999999999997584
100,10,90,300,0.01,2.5275638103485107,0.0
100,10,90,300,0.01,2.509072780609131,1.6759999999999984
