budget,size_eval,hidden_size,epochs,learning_rate,total_time,absolute_error
100,10,10,300,0.01,0.37208127975463867,0.0
100,10,10,300,0.01,0.32591772079467773,0.0
100,10,10,300,0.01,0.3355114459991455,0.07379999999999853
100,10,10,300,0.01,0.3326873779296875,0.4173999999999971
100,10,10,300,0.01,0.5804934501647949,0.45339999999999847
100,10,10,300,0.01,0.32686948776245117,0.0
100,10,10,300,0.01,0.3289973735809326,0.07379999999999853
100,10,10,300,0.01,0.3268153667449951,0.37959999999999994
100,10,10,300,0.01,0.3296647071838379,0.37959999999999994
100,10,10,300,0.01,0.32816648483276367,0.4009999999999998
100,10,20,300,0.01,0.32880330085754395,0.0
100,10,20,300,0.01,0.32749485969543457,0.0
100,10,20,300,0.01,0.32922816276550293,0.7833999999999968
100,10,20,300,0.01,0.3273937702178955,0.6231999999999971
100,10,20,300,0.01,0.32812976837158203,0.0
100,10,20,300,0.01,0.330486536026001,0.4173999999999971
100,10,20,300,0.01,0.32417893409729004,0.37959999999999994
100,10,20,300,0.01,0.46146678924560547,0.45339999999999847
100,10,20,300,0.01,0.3852424621582031,0.4173999999999971
100,10,20,300,0.01,0.3263981342315674,0.45339999999999847
100,10,30,300,0.01,0.3390932083129883,0.0
100,10,30,300,0.01,0.33604931831359863,0.4173999999999971
100,10,30,300,0.01,0.34190869331359863,0.0
100,10,30,300,0.01,0.3318784236907959,0.07379999999999853
100,10,30,300,0.01,0.3748791217803955,0.4878
100,10,30,300,0.01,0.33079028129577637,0.45339999999999847
100,10,30,300,0.01,0.3350100517272949,0.07379999999999853
100,10,30,300,0.01,0.33675599098205566,0.0
100,10,30,300,0.01,0.3336508274078369,0.0
100,10,30,300,0.01,0.33205747604370117,1.3687999999999967
100,10,40,300,0.01,0.34121155738830566,0.4173999999999971
100,10,40,300,0.01,0.3395094871520996,1.1585999999999999
100,10,40,300,0.01,0.34314656257629395,0.45339999999999847
100,10,40,300,0.01,0.34015703201293945,0.45339999999999847
100,10,40,300,0.01,0.3424110412597656,0.0
100,10,40,300,0.01,0.3297874927520752,0.0
100,10,40,300,0.01,0.3278651237487793,0.07379999999999853
100,10,40,300,0.01,0.33971071243286133,0.45339999999999847
100,10,40,300,0.01,0.32652735710144043,0.0
100,10,40,300,0.01,0.417651891708374,0.07379999999999853
100,10,50,300,0.01,0.33310413360595703,0.4878
100,10,50,300,0.01,0.35245323181152344,0.0
100,10,50,300,0.01,0.33138489723205566,0.0
100,10,50,300,0.01,0.33213138580322266,0.4009999999999998
100,10,50,300,0.01,0.33441901206970215,0.0
100,10,50,300,0.01,0.3356814384460449,0.07379999999999853
100,10,50,300,0.01,0.35040712356567383,0.0
100,10,50,300,0.01,0.3340911865234375,0.2851999999999997
100,10,50,300,0.01,0.33782434463500977,0.0
100,10,50,300,0.01,0.33044934272766113,0.0
100,10,60,300,0.01,0.3347482681274414,0.0
100,10,60,300,0.01,0.37088918685913086,0.0
100,10,60,300,0.01,0.3367195129394531,0.4173999999999971
100,10,60,300,0.01,0.3393852710723877,0.07379999999999853
100,10,60,300,0.01,0.40041685104370117,0.9455999999999989
100,10,60,300,0.01,0.40584707260131836,0.34979999999999833
100,10,60,300,0.01,0.3703033924102783,0.0
100,10,60,300,0.01,0.3449082374572754,0.0
100,10,60,300,0.01,0.34238481521606445,0.0
100,10,60,300,0.01,0.33269476890563965,0.0
100,10,70,300,0.01,0.33193540573120117,0.0
100,10,70,300,0.01,0.3331122398376465,1.232599999999998
100,10,70,300,0.01,0.33422040939331055,0.07379999999999853
100,10,70,300,0.01,0.33193540573120117,0.07379999999999853
100,10,70,300,0.01,0.3316683769226074,0.37959999999999994
100,10,70,300,0.01,0.33749914169311523,0.07379999999999853
100,10,70,300,0.01,0.33743715286254883,0.0
100,10,70,300,0.01,0.3320639133453369,0.34979999999999833
100,10,70,300,0.01,0.3325817584991455,1.1585999999999999
100,10,70,300,0.01,0.33211445808410645,0.6885999999999974
100,10,80,300,0.01,0.33327198028564453,0.37959999999999994
100,10,80,300,0.01,0.34256649017333984,0.0
100,10,80,300,0.01,0.3422837257385254,1.1585999999999999
100,10,80,300,0.01,0.3324556350708008,0.4878
100,10,80,300,0.01,0.3329179286956787,0.0
100,10,80,300,0.01,0.33005356788635254,0.0
100,10,80,300,0.01,0.33530426025390625,0.07379999999999853
100,10,80,300,0.01,0.343796968460083,0.07379999999999853
100,10,80,300,0.01,0.337329626083374,0.0
100,10,80,300,0.01,0.3325612545013428,0.0
100,10,90,300,0.01,0.346189022064209,0.2851999999999997
100,10,90,300,0.01,0.3406832218170166,0.8619999999999983
100,10,90,300,0.01,0.3457975387573242,0.8925999999999981
100,10,90,300,0.01,0.33922290802001953,0.07379999999999853
100,10,90,300,0.01,0.34454846382141113,0.34979999999999833
100,10,90,300,0.01,0.3373534679412842,0.4173999999999971
100,10,90,300,0.01,0.336533784866333,0.0
100,10,90,300,0.01,0.33682918548583984,0.6231999999999971
100,10,90,300,0.01,0.33678722381591797,1.369600000000002
100,10,90,300,0.01,0.33998560905456543,0.34979999999999833
100,10,100,300,0.01,0.33788251876831055,0.45339999999999847
100,10,100,300,0.01,0.3397102355957031,1.1585999999999999
100,10,100,300,0.01,0.34383273124694824,0.07379999999999853
100,10,100,300,0.01,0.3504452705383301,0.534799999999997
100,10,100,300,0.01,0.3392975330352783,0.4173999999999971
100,10,100,300,0.01,0.3348839282989502,0.37959999999999994
100,10,100,300,0.01,0.34032773971557617,0.0
100,10,100,300,0.01,0.34177732467651367,0.07379999999999853
100,10,100,300,0.01,0.33985137939453125,0.0
100,10,100,300,0.01,0.34131598472595215,0.07379999999999853
100,10,10,300,0.01,0.3246898651123047,0.34979999999999833
100,10,10,300,0.01,0.3244149684906006,0.37959999999999994
100,10,10,300,0.01,0.3248260021209717,0.4173999999999971
100,10,10,300,0.01,0.3304612636566162,0.07379999999999853
100,10,10,300,0.01,0.33045196533203125,0.0
100,10,10,300,0.01,0.3359365463256836,0.0
100,10,10,300,0.01,0.32299375534057617,0.6311999999999998
100,10,10,300,0.01,0.32423877716064453,0.07379999999999853
100,10,10,300,0.01,0.32082366943359375,0.37959999999999994
100,10,10,300,0.01,0.3291466236114502,0.2851999999999997
100,20,10,300,0.01,0.2909367084503174,0.0
100,20,10,300,0.01,0.30219578742980957,0.4173999999999971
100,20,10,300,0.01,0.31636476516723633,0.4173999999999971
100,20,10,300,0.01,0.322007417678833,0.0
100,20,10,300,0.01,0.4365355968475342,0.5333999999999968
100,20,10,300,0.01,0.2889385223388672,0.4173999999999971
100,20,10,300,0.01,0.29785990715026855,0.7227999999999994
100,20,10,300,0.01,0.30094146728515625,0.07379999999999853
100,20,10,300,0.01,0.298933744430542,0.9455999999999989
100,20,10,300,0.01,0.28952813148498535,0.07379999999999853
100,30,10,300,0.01,0.32009434700012207,0.8983999999999988
100,30,10,300,0.01,0.27973008155822754,0.47839999999999705
100,30,10,300,0.01,0.25790858268737793,0.4173999999999971
100,30,10,300,0.01,0.2568497657775879,0.37959999999999994
100,30,10,300,0.01,0.2679431438446045,1.4623999999999988
100,30,10,300,0.01,0.26845622062683105,0.5153999999999996
100,30,10,300,0.01,0.2591407299041748,0.0
100,30,10,300,0.01,0.25872087478637695,0.0
100,30,10,300,0.01,0.30323052406311035,0.0
100,30,10,300,0.01,0.2750132083892822,0.0
100,40,10,300,0.01,0.22575116157531738,0.45339999999999847
100,40,10,300,0.01,0.22768187522888184,0.0
100,40,10,300,0.01,0.2518489360809326,0.37959999999999994
100,40,10,300,0.01,0.23218107223510742,0.34399999999999764
100,40,10,300,0.01,0.36268091201782227,0.37959999999999994
100,40,10,300,0.01,0.23374032974243164,0.45339999999999847
100,40,10,300,0.01,0.26476359367370605,0.0
100,40,10,300,0.01,0.23439931869506836,0.0
100,40,10,300,0.01,0.24064040184020996,0.6885999999999974
100,40,10,300,0.01,0.22682905197143555,0.0
100,50,10,300,0.01,0.19211149215698242,0.4009999999999998
100,50,10,300,0.01,0.1912517547607422,0.07379999999999853
100,50,10,300,0.01,0.19234704971313477,0.47839999999999705
100,50,10,300,0.01,0.19346880912780762,0.0
100,50,10,300,0.01,0.3042278289794922,0.4173999999999971
100,50,10,300,0.01,0.207305908203125,0.07379999999999853
100,50,10,300,0.01,0.19406580924987793,0.37959999999999994
100,50,10,300,0.01,0.19571924209594727,0.2851999999999997
100,50,10,300,0.01,0.197249174118042,0.34399999999999764
100,50,10,300,0.01,0.20648646354675293,0.37959999999999994
100,60,10,300,0.01,0.16408467292785645,0.4878
100,60,10,300,0.01,0.16521215438842773,0.0
100,60,10,300,0.01,0.17916440963745117,0.4173999999999971
100,60,10,300,0.01,0.1626267433166504,0.4173999999999971
100,60,10,300,0.01,0.22609758377075195,0.4173999999999971
100,60,10,300,0.01,0.16305088996887207,0.0
100,60,10,300,0.01,0.1622450351715088,0.07379999999999853
100,60,10,300,0.01,0.16240191459655762,0.07379999999999853
100,60,10,300,0.01,0.16689372062683105,0.4009999999999998
100,60,10,300,0.01,0.16225790977478027,0.0
100,70,10,300,0.01,0.13328242301940918,0.34979999999999833
100,70,10,300,0.01,0.13392162322998047,0.0
100,70,10,300,0.01,0.13253569602966309,0.07379999999999853
100,70,10,300,0.01,0.13411664962768555,0.2851999999999997
100,70,10,300,0.01,0.1488349437713623,0.07379999999999853
100,70,10,300,0.01,0.13436365127563477,1.0675999999999988
100,70,10,300,0.01,0.13626790046691895,0.0
100,70,10,300,0.01,0.13229084014892578,0.2851999999999997
100,70,10,300,0.01,0.13343095779418945,0.0
100,70,10,300,0.01,0.13236188888549805,0.37959999999999994
