0.0,0.0,1.0,0.0,1.0,256.0,32.0,1024.0,45939.8
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,0.0,1.0,0.0,1.0,256.0,32.0,1024.0,45939.8
0.0,0.0,0.0,0.0,0.0,256.0,32.0,4096.0,46042.4
0.0,0.0,1.0,0.0,1.0,256.0,8.0,256.0,46064.6
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,0.0,1.0,0.0,1.0,256.0,32.0,1024.0,45939.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,0.0,1.0,0.0,1.0,64.0,32.0,1024.0,46132.6
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,1.0,0.0,0.0,0.0,256.0,32.0,4096.0,46039.0
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,1.0,0.0,0.0,0.0,256.0,32.0,4096.0,46039.0
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,0.0,0.0,0.0,0.0,256.0,32.0,4096.0,46042.4
0.0,0.0,0.0,0.0,0.0,256.0,32.0,4096.0,46042.4
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,0.0,1.0,0.0,1.0,256.0,8.0,256.0,46064.6
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,0.0,0.0,0.0,256.0,32.0,1024.0,46094.8
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,1.0,0.0,1.0,256.0,2.0,256.0,46083.6
0.0,1.0,0.0,0.0,1.0,64.0,8.0,1024.0,46054.6
0.0,0.0,0.0,0.0,1.0,128.0,32.0,256.0,46035.0
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,0.0,0.0,0.0,1.0,128.0,32.0,256.0,46035.0
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,256.0,45922.8
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,1.0,0.0,0.0,0.0,128.0,8.0,1024.0,45980.8
0.0,0.0,1.0,0.0,1.0,256.0,32.0,1024.0,45939.8
